,peakid,det_lat,det_lon,country,triggertime,triggertime_local,pytz,nighttime,signals,actives,felt_reports_green,felt_reports_yellow,felt_reports_red,notification_time,notification_delay_from_detection,intensity_strong,cat,num_eq_matches,origintime,magtype,magnitude,eq_lat,eq_lon,depth,separation,triggerdelay,P_at_surface_delay,offshore,dist_shore,closest_land_lat,closest_land_lon,P_at_coast_delay,P_on_land_surface_delay,triggerdelay_wrt_P,triggerdelay_wrt_S,causal_phase
643,9591279,-29.965,-71.288,chl,2019-10-28 03:56:16.000000000,2019-10-28 00:56:16-03:00,America/Santiago,True,21,243,84,13,2,2019-10-28 03:56:36.000000,20.0,0,USGS,1,2019-10-28 03:55:07.147000074,mww,5.0,-30.244,-68.912,12.26,231.1,68.9,2.1,False,,,,,2.1,34.2,8.4,S
661,6502230,-22.443,-68.927,chl,2019-10-06 10:41:18.000000000,2019-10-06 07:41:18-03:00,America/Santiago,False,10,43,132,45,5,2019-10-06 10:41:52.000000,34.0,0,USGS,1,2019-10-06 10:40:56.391000032,mww,5.7,-21.934,-68.593,119.0,66.0,21.6,16.2,False,,,,,16.2,3.2,-10.7,P
670,3096334,16.198,-95.192,mex,2019-10-02 10:13:21.000000000,2019-10-02 05:13:21-05:00,America/Mexico_City,True,16,114,51,21,2,,,,USGS,1,2019-10-02 10:13:09.118999958,mww,5.3,15.729,-95.102,29.98,52.8,11.9,5.0,True,42.3,16.008,-95.372,8.6,8.6,1.9,-5.0,P
673,1795957,-22.446,-68.926,chl,2019-09-30 11:53:43.000000000,2019-09-30 08:53:43-03:00,America/Santiago,False,8,19,116,45,8,2019-09-30 11:54:14.000000,31.0,1,USGS,1,2019-09-30 11:53:22.983000040,mww,5.6,-22.191,-68.799,117.0,31.1,20.0,15.9,False,,,,,15.9,3.5,-8.9,P
675,3114082,-35.459,-71.637,chl,2019-09-29 15:58:23.000000000,2019-09-29 12:58:23-03:00,America/Santiago,False,8,9,1316,628,93,2019-09-29 15:58:52.000000,29.0,0,USGS,1,2019-09-29 15:57:53.236000061,mww,6.7,-35.476,-73.163,11.0,138.5,29.8,1.9,True,48.0,-35.574,-72.648,8.5,8.5,6.4,-9.8,P
679,2956463,-29.954,-71.273,chl,2019-09-26 20:31:41.000000000,2019-09-26 17:31:41-03:00,America/Santiago,False,10,39,153,166,37,2019-09-26 20:32:02.000000,21.0,1,USGS,1,2019-09-26 20:31:30.336999893,mww,5.4,-29.855,-71.35,35.1,13.3,10.7,5.8,True,5.7,-29.815,-71.313,5.8,5.8,4.5,0.3,P
681,7573389,18.352,-67.116,pri,2019-09-24 03:23:57.000000000,2019-09-23 23:23:57-04:00,America/Puerto_Rico,True,9,28,33,10,4,,,,USGS,1,2019-09-24 03:23:40.000000000,mw,6.0,19.077,-67.27,10.0,81.8,17.0,1.7,True,64.1,18.512,-67.14,11.2,11.2,2.8,-6.8,P
694,9103649,-31.515,-68.517,arg,2019-09-14 05:15:50.000000000,2019-09-14 02:15:50-03:00,America/Argentina/San_Juan,True,10,42,153,33,6,,,,USGS,1,2019-09-14 05:15:30.697000027,mww,5.0,-31.396,-68.618,102.87,16.3,19.3,14.2,False,,,,,14.2,4.9,-5.8,P
731,6264090,-2.137,-79.571,ecu,2019-08-18 09:28:43.000000000,2019-08-18 04:28:43-05:00,America/Guayaquil,True,14,,471,173,19,,,,USGS,1,2019-08-18 09:28:29.559999943,mww,5.0,-2.324,-79.277,84.69,38.7,13.4,11.9,False,,,,,11.9,0.4,-9.3,P
741,4811311,16.463,-95.015,mex,2019-08-12 20:40:01.000000000,2019-08-12 15:40:01-05:00,America/Mexico_City,False,9,,111,50,5,,,,USGS,1,2019-08-12 20:39:34.864000082,mww,5.5,15.977,-93.728,93.0,147.8,26.1,13.0,False,,,,,13.0,2.4,-15.5,P
